Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Fosinopril sodium,Hypertension (High Blood Pressure),Congestive Heart Failure,"Dry cough, dizziness, fatigue. Serious: Angioedema, hyperkalemia, renal impairment.",Angiotensin-Converting Enzyme (ACE) Inhibitor,₹40 - ₹120 per 10 tabs (10mg/20mg),10 mg once daily (titrated to 40 mg).,"Lisinopril, Ramipril, Enalapril.",Global Tablet
Fosphenytoin sodium,"Treatment of acute, prolonged Seizures (Status Epilepticus)",Prevention and treatment of seizures during neurosurgery,"Itching (pruritus, often groin area), dizziness, ataxia, hypotension (with rapid infusion).",Prodrug of Phenytoin (Hydantoin Anticonvulsant),High Cost; Hospital/IV use only,IV/IM injection (Dosing expressed as $\text{PE}$ - Phenytoin Equivalents: 10-20 $\text{mg}/\text{kg}$ $\text{PE}$).,"Phenytoin, Levetiracetam.",Global Injection
Frovatriptan,Acute treatment of Migraine attacks (with or without aura),Prevention of Menstrually Associated Migraine,"Dizziness, fatigue, somnolence (drowsiness), dry mouth. Known for longer half-life among triptans.",$\text{5-HT}_{1\text{B/1D}}$ Receptor Agonist (Triptan),₹300 - ₹600 per 2 tabs (2.5mg),2.5 mg at the onset of migraine.,"Sumatriptan, Rizatriptan.",Global Tablet
Fulvestrant,Hormone-receptor positive Breast Cancer (postmenopausal women),-,"Injection site pain, hot flashes, nausea, headache.",Selective Estrogen Receptor Degrader (SERD),Extremely High Cost; Oncology/IM use only,500 mg IM injection monthly.,"Tamoxifen (SERM), Exemestane (Aromatase Inhibitor).",Global Injection
Fumaric acid esters (fumaderm),Treatment of moderate to severe Plaque Psoriasis,-,"Flushing, diarrhea, abdominal pain, nausea, lymphopenia (low lymphocytes). Serious: Progressive multifocal leukoencephalopathy (PML - rare).","Immunomodulator (MOA complex, possibly inhibits $\text{NF}-\kappa\text{B}$)",Very High Cost; Specialty drug,"Dose is slowly titrated, typically up to 720 $\text{mg}$ daily (in divided doses).","Methotrexate, Apremilast.",Global Tablet
Furosemide (frusemide),"Treatment of Edema (Heart Failure, Hepatic/Renal Disease)",Management of Hypertension (High Blood Pressure),"Frequent urination, low potassium (hypokalemia), low blood pressure (hypotension), dizziness, dehydration. Serious: Ototoxicity (hearing loss, esp. with rapid IV infusion).",Loop Diuretic,₹10 - ₹50 per 10 tabs (20mg/40mg),20 mg to 80 mg once or twice daily. IV dose: 20 mg to 40 mg.,"Bumetanide, Torasemide.",Global Tablet/Injection
Gabapentin,Treatment of Partial Seizures (Epilepsy),Postherpetic Neuralgia (nerve pain after Shingles),"Dizziness, drowsiness, ataxia (uncoordinated movement), peripheral edema.",Gabapentinoid (Anticonvulsant),₹150 - ₹500 per 10 caps (300mg/600mg),"Titrated dose, typically 900 mg to 3600 mg daily in 3 divided doses.",Pregabalin (similar structure/mechanism).,Global Capsule/Tablet
Galantamine,Mild to moderate Alzheimer's Disease,-,"Nausea, vomiting, diarrhea, dizziness, headache, decreased appetite. Serious: Bradycardia, syncope, GI bleeding risk.",Acetylcholinesterase Inhibitor,Very High Cost; Specialty drug,Initial: 4 mg twice daily. Maintenance: 8 mg to 12 mg twice daily (or ER equivalent).,"Donepezil, Rivastigmine.",Global Tablet/Oral Solution
Ganciclovir,Treatment/Prophylaxis of Cytomegalovirus (CMV) infection (Immunocompromised patients),-,"Myelosuppression (neutropenia, thrombocytopenia), fever, diarrhea, rash. Serious: Teratogenic (causes birth defects).",Nucleoside Analog Antiviral,Very High Cost; Specialty Injection/Capsule,IV induction followed by maintenance (5 $\text{mg}/\text{kg}$ dose is common). Oral maintenance dose varies.,"Valganciclovir (Oral prodrug), Foscarnet.",Global Injection/Capsule
Gefitinib,Metastatic Non-Small Cell Lung Cancer (NSCLC) (EGFR mutation positive),-,"Diarrhea, rash, dry skin, nausea, vomiting. Serious: Interstitial Lung Disease (ILD), GI perforation.",Tyrosine Kinase Inhibitor (TKI) (EGFR Inhibitor),Extremely High Cost; Oncology use only,250 mg once daily.,"Erlotinib, Osimertinib.",Global Tablet
Gemcitabine,"Various Cancers (Pancreatic, Breast, NSCLC, Ovarian)",-,"Myelosuppression (neutropenia), nausea, vomiting, flu-like symptoms, elevated liver enzymes. Serious: Hemolytic Uremic Syndrome (HUS).",Pyrimidine Analog (Antimetabolite Chemotherapy),High Cost; Oncology use only,"IV infusion (Dosing complex, based on $\text{m}^2$ and protocol).","Fluorouracil, Pemetrexed.",Global Injection
Gemfibrozil,Severe Hypertriglyceridemia (High Triglycerides),Low HDL and high Triglycerides (Mixed Dyslipidemia),"Abdominal pain, dyspepsia, headache, increased liver enzymes. Serious: Myopathy (muscle breakdown), gallstones.",Fibrate (PPAR-$\alpha$ Agonist),₹80 - ₹200 per 10 tabs (600mg),"600 mg twice daily, 30 minutes before breakfast and dinner.",Fenofibrate.,Global Tablet
Gentamicin,"Serious susceptible Bacterial Infections (Sepsis, Pneumonia, UTI)",Eye/Ear Infections (Topical),"Nephrotoxicity (kidney damage), Ototoxicity (hearing loss, vestibular damage). Serious: Neuromuscular blockade.",Aminoglycoside Antibiotic,Low Cost; Hospital/IV/Topical use,"IV/IM injection (Dosing highly individualized, often 3-7 $\text{mg}/\text{kg}$ daily, monitoring required).","Amikacin, Tobramycin.",Global Injection/Eye/Ear Drop
Glatiramer acetate,Relapsing-remitting Multiple Sclerosis (MS),-,"Injection site reactions (pain, redness), flushing, chest pain, dyspnea (shortness of breath).",Immunomodulator (Synthetic Polypeptide),Extremely High Cost; Specialty Injection,20 mg SC once daily or 40 mg SC three times weekly.,Interferon Beta (other MS treatment).,Global Injection (Pre-filled Syringe)
Glibenclamide,Type 2 Diabetes Mellitus (improves glycemic control),-,"Hypoglycemia (low blood sugar), weight gain, nausea, heartburn. Caution: Use with care in elderly (long half-life, high hypoglycemia risk).",Second-Generation Sulfonylurea,₹20 - ₹80 per 10 tabs (5mg),2.5 mg to 20 mg daily in divided doses.,"Gliclazide, Glimepiride.",Global Tablet
Gliclazide,Type 2 Diabetes Mellitus (improves glycemic control),-,"Hypoglycemia (low blood sugar), gastrointestinal disturbance, headache, rash.",Second-Generation Sulfonylurea,"₹50 - ₹150 per 10 tabs (80mg, 30mg MR)",40 mg to 320 mg daily in divided doses (or MR form once daily).,"Glibenclamide, Glimepiride.",Global Tablet
Glimepiride,Type 2 Diabetes Mellitus (improves glycemic control),-,"Hypoglycemia (low blood sugar), dizziness, headache, nausea.",Second-Generation Sulfonylurea,₹60 - ₹180 per 10 tabs (1mg/2mg/4mg),1 mg to 8 mg once daily with breakfast.,"Gliclazide, Glibenclamide.",Global Tablet
Glipizide,Type 2 Diabetes Mellitus (improves glycemic control),-,"Hypoglycemia (low blood sugar), nausea, diarrhea, headache.",Second-Generation Sulfonylurea,₹40 - ₹120 per 10 tabs (5mg/10mg),5 mg to 40 mg daily (divided doses before meals or XR once daily).,"Gliclazide, Glimepiride.",Global Tablet
Glyceryl trinitrate,Acute treatment of Angina (Chest Pain),"Chronic stable angina prophylaxis, Acute Heart Failure","Headache (common), flushing, dizziness, postural hypotension. Contraindicated: With PDE-5 inhibitors (e.g., Sildenafil).",Organic Nitrate (Vasodilator),₹50 - ₹150 per 10 tabs (Sublingual/Patch),Sublingual: 0.3 mg to 0.6 mg as needed. Patch/Ointment for prophylaxis.,"Isosorbide Mononitrate, Isosorbide Dinitrate.",Global Sublingual Tablet/Patch/IV
Goserelin,Hormone-sensitive Prostate Cancer,"Breast Cancer (pre/perimenopausal), Endometriosis","Hot flashes, decreased libido, injection site reaction. Serious: Initial 'flare' in cancer symptoms, decreased bone mineral density.",GnRH (LHRH) Agonist,Extremely High Cost; Specialty Injection,Subcutaneous depot injection (3.6 mg every 28 days or 10.8 mg every 12 weeks).,"Leuprorelin, Triptorelin.",Global Injection (Implant)
Granisetron,Prevention and treatment of Chemotherapy-Induced Nausea and Vomiting (CINV),Prevention and treatment of Postoperative Nausea and Vomiting (PONV),"Headache, constipation, asthenia (weakness).",$\text{5-HT}_3$ Receptor Antagonist,Very High Cost; Oncology use/IV,Oral: 1 mg twice daily. IV: 1 mg to 2 mg infusion.,"Ondansetron, Palonosetron.",Global Tablet/Injection
Griseofulvin,Treatment of systemic Dermatophyte Fungal Infections (Tinea capitis/pedis),-,"Headache, nausea, vomiting, diarrhea, photosensitivity (sun sensitivity). Serious: Hepatotoxicity, allergic reactions (skin).",Antifungal Agent,₹150 - ₹400 per 10 tabs (250mg/500mg),500 mg to 1000 mg daily in divided doses with food.,"Terbinafine, Fluconazole.",Global Tablet/Suspension
Guanethidine monosulphate,Severe refractory Hypertension (rarely used due to side effects),-,"Postural hypotension (severe), dizziness, diarrhea, fluid retention.",Adrenergic Neuron Blocking Agent,High Cost; Rarely used,Initial: 10 mg to 12.5 mg once daily.,Clonidine (Central sympatholytic).,Global Tablet
Haloperidol,Treatment of acute and chronic Schizophrenia,"Acute Psychosis/Agitation, Severe Tics (Tourette's)","Extrapyramidal symptoms (acute dystonia, tardive dyskinesia), sedation, QT prolongation.",Typical (First-Generation) Antipsychotic,₹50 - ₹150 per 10 tabs (0.5mg to 10mg),Oral: 0.5 mg to 10 mg twice daily. IM (acute): 2 mg to 5 mg. Decanoate: Monthly injection.,"Chlorpromazine, Flupentixol.",Global Tablet/Injection
Heparin,Treatment of acute DVT/PE (Deep Vein Thrombosis/Pulmonary Embolism),Prevention of Thrombosis (low dose),Bleeding (major or minor). Serious: Heparin-induced Thrombocytopenia (HIT - requires immediate discontinuation).,Anticoagulant (Indirect Thrombin Inhibitor),Low Cost; Hospital/IV/SC use,"IV infusion (Dosing based on weight/PTT monitoring). Prophylaxis: 5,000 units SC twice daily.","Enoxaparin (LMWH), Warfarin.",Global Injection
Hydralazine hydrochloride,"Management of severe Hypertension (Hypertensive crisis, often in pregnancy)",Adjuvant therapy in Heart Failure,"Headache, flushing, palpitations, tachycardia. Serious: Drug-induced Lupus Syndrome (dose and time-dependent).",Direct Arterial Vasodilator,₹50 - ₹150 per 10 tabs (25mg/50mg),25 mg to 100 mg twice to four times daily. IV dose for emergency.,"Nitroprusside (IV), Minoxidil (other direct vasodilator).",Global Tablet/Injection
Hydrocortisone acetate,"Relief of inflammation, itching, and pain associated with various Skin Conditions",Adrenocortical insufficiency (Replacement therapy - oral),"Skin thinning, burning, itching (topical). Glucocorticoid side effects (oral).",Glucocorticoid (Corticosteroid),Varies widely (Topical/Oral),Topical: Apply 1-4 times daily. Oral: 20 mg to 30 mg daily (divided doses) for replacement.,"Prednisolone, Methylprednisolone.",Global Topical Cream/Oral Tablet
Hydrocortisone sodium succinate,"Treatment of acute, severe conditions (e.g., Anaphylaxis, severe Asthma, Adrenal crisis)",Short-term immunosuppression,"Fluid retention, mood changes, hyperglycemia. Serious: Adrenal suppression (long-term use).",Soluble Glucocorticoid (Corticosteroid),High Cost; Hospital/IV use only,IV/IM injection (100 mg to 500 mg dose is common).,"Dexamethasone (IV), Methylprednisolone (IV).",Global Injection
Hydromorphone hydrochloride,Management of moderate to severe Pain,-,"Constipation, nausea, vomiting, dizziness, sedation. Serious: Respiratory Depression, addiction/dependence.",Opioid Analgesic,High Cost; Controlled substance,Oral: 2 mg to 8 mg every 3-4 hours. IV: 0.2 mg to 1 mg every 3-4 hours.,"Morphine, Oxycodone.",Global Tablet/Injection/Liquid
Hydroxycarbamide (hydroxyurea),Management of Sickle Cell Disease (reduces crisis frequency),"Chronic Myeloid Leukemia (CML), Polycythemia Vera","Myelosuppression (dose-limiting: low WBC/platelets), GI upset, skin ulcers.",Antineoplastic/Cytoreductive Agent,₹100 - ₹300 per 10 caps (500mg),Sickle Cell: 15 $\text{mg}/\text{kg}/\text{day}$ (titrated). CML: 20-30 $\text{mg}/\text{kg}/\text{day}$.,"Busulfan (for CML), Erythropoietin (for Sickle Cell).",Global Capsule
Hydroxychloroquine sulphate,Treatment of Rheumatoid Arthritis (RA),"Systemic Lupus Erythematosus (SLE), Malaria prophylaxis/treatment","Nausea, vomiting, diarrhea, headache, rash. Serious: Retinal toxicity (vision damage, requires regular ophthalmological exams), QT prolongation.",Disease-Modifying Antirheumatic Drug (DMARD)/Antimalarial,₹150 - ₹400 per 10 tabs (200mg),200 mg to 400 mg once daily.,"Methotrexate, Sulfasalazine.",Global Tablet
Hydroxyzine hydrochloride,Treatment of generalized Anxiety,Pruritus (itching) associated with allergic conditions,"Drowsiness, dry mouth, headache. Serious: QT prolongation (higher doses), risk of paradoxical CNS stimulation in children.",First-Generation $\text{H}_1$ Antihistamine/Sedative,₹50 - ₹150 per 10 tabs (10mg/25mg),Anxiety: 50 mg to 100 mg 4 times daily. Pruritus: 25 mg 3-4 times daily.,"Diphenhydramine (other sedative antihistamine), Buspirone (non-sedating anxiolytic).",Global Tablet/Syrup/Injection
Indapamide,Hypertension (High Blood Pressure),Edema associated with Congestive Heart Failure,"Low potassium (hypokalemia), dizziness, headache, fatigue.",Thiazide-like Diuretic,₹50 - ₹150 per 10 tabs (1.5mg MR/2.5mg),1.5 mg MR or 2.5 mg once daily.,"Hydrochlorothiazide, Chlorthalidone.",Global Tablet
Indinavir,Treatment of HIV-1 Infection (part of combination therapy),-,"Nausea, vomiting, diarrhea, abdominal pain, kidney stones (nephrolithiasis).",Protease Inhibitor (PI),Very High Cost; Specialty drug,800 mg every 8 hours (usually boosted with Ritonavir).,"Lopinavir, Atazanavir.",Global Capsule
Indometacin,Moderate to severe Rheumatoid Arthritis and Osteoarthritis,"Acute Gout, Ankylosing Spondylitis","Headache (frontal), dizziness, vertigo, GI upset. Serious: GI bleeding, CNS effects, renal damage.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹80 - ₹250 per 10 caps (25mg/50mg),25 mg to 50 mg two to three times daily.,"Piroxicam, Diclofenac.",Global Capsule/Suppository
Indoramin,Treatment of Hypertension (High Blood Pressure),Benign Prostatic Hyperplasia (BPH),"Drowsiness, dizziness, fatigue, orthostatic hypotension, dry mouth.",$\text{Alpha}_1$ Adrenoceptor Blocker,₹100 - ₹300 per 10 tabs (20mg/25mg),20 mg twice daily.,"Prazosin, Doxazosin.",Global Tablet
Infliximab,Rheumatoid Arthritis (RA),"Crohn's Disease, Ulcerative Colitis, Psoriasis, Ankylosing Spondylitis","Infusion reactions (fever, rash, headache), upper respiratory tract infections. Serious: Serious infections (TB, Sepsis), heart failure, lymphoma.",TNF-$\alpha$ Inhibitor (Monoclonal Antibody),Extremely High Cost; Specialty IV Infusion,"IV Infusion (Dosing complex, weight-based, typically every 8 weeks).","Adalimumab, Etanercept.",Global Injection
Inosine pranobex,"Adjunctive therapy for some Viral Infections (Herpes, Subacute Sclerosing Panencephalitis - SSPE)",-,"Increased serum and urine uric acid, joint pain, fatigue, headache.",Immunomodulator/Antiviral,High Cost; Specialty drug,1 g three to four times daily.,Acyclovir (Direct antiviral).,Global Tablet/Syrup
Inositol nicotinate,Peripheral Vascular Disease (used to treat intermittent claudication),-,"Flushing, itching, gastrointestinal disturbances.",Nicotinic Acid Derivative (Peripheral Vasodilator),₹100 - ₹300 per 10 tabs (250mg/500mg),500 mg to 1 g three times daily.,"Pentoxifylline, Naftidrofuryl.",Global Tablet
Insulin – soluble (Actrapid or Humulin S),Treatment of Type 1 Diabetes Mellitus,Emergency treatment of Diabetic Ketoacidosis (DKA),"Hypoglycemia (low blood sugar), lipodystrophy (changes at injection site), weight gain.",Rapid/Short-Acting Human Insulin,High Cost; Daily use,"Subcutaneous injection (Dosing highly individualized, multiple times daily pre-meal).","Insulin Lispro, Insulin Aspart (Ultra-rapid).",Global Injection (Vial/Pen)
Interferon alfa-2A (Roferon A),Hepatitis C and B (now largely replaced by DAA),"Various Cancers (Hairy Cell Leukemia, Malignant Melanoma)","Flu-like symptoms (fever, fatigue, muscle aches), headache, nausea, depression, myelosuppression.",Cytokine/Immunomodulator,Extremely High Cost; Specialty Injection,"SC or IM injection (Dosing highly variable, based on indication).","Interferon alfa-2B, Peginterferon alfa.",Global Injection
Interferon alfa-2B,Hepatitis C and B (now largely replaced by DAA),"Various Cancers (Follicular Lymphoma, AIDS-related Kaposi's Sarcoma)","Flu-like symptoms (fever, fatigue, muscle aches), headache, depression, myelosuppression.",Cytokine/Immunomodulator,Extremely High Cost; Specialty Injection,SC or IM injection (Dosing highly variable).,"Interferon alfa-2A, Peginterferon alfa.",Global Injection
Interferon beta,Relapsing Forms of Multiple Sclerosis (MS) (Reduces relapse rate),-,"Flu-like symptoms, injection site reactions, fever, headache. Serious: Depression, suicidal ideation, hepatotoxicity.",Cytokine/Immunomodulator,Extremely High Cost; Specialty Injection,"SC or IM injection (Dosing schedule varies by product, e.g., 3 times weekly, every other day).",Glatiramer Acetate.,Global Injection
Interferon gamma-1B (Immukin),Reduction of frequency/severity of severe infections in Chronic Granulomatous Disease (CGD),-,"Flu-like symptoms, fever, headache, injection site reactions, rash.",Cytokine/Immunomodulator,Extremely High Cost; Specialty Injection,50 $\mu\text{g}/\text{m}^2$ SC three times weekly.,-,Global Injection
Ipilimumab,Treatment of unresectable or metastatic Melanoma,Adjuvant therapy for high-risk melanoma,"Fatigue, diarrhea, pruritus, rash, colitis. Serious: Immune-related adverse events (irAEs) affecting colon, liver, skin, endocrine glands.",CTLA-4 Inhibitor (Immunotherapy - Checkpoint Inhibitor),Extremely High Cost; Oncology IV use only,"IV infusion (Dosing complex, based on weight/protocol).","Nivolumab, Pembrolizumab (PD-1 inhibitors).",Global Injection
Ipratropium bromide,Maintenance treatment of COPD (Chronic Obstructive Pulmonary Disease),Acute Asthma exacerbations (as an adjunct),"Dry mouth, cough, headache, pharyngitis, nausea. Contraindicated: Narrow-angle glaucoma.",Short-Acting Antimuscarinic Agent (SAMA),₹150 - ₹300 per inhaler/solution,2-3 puffs 3-4 times daily via inhaler. Nebulized solution for acute exacerbations.,Tiotropium (LAMA).,Global Inhaler/Nebulizer Solution
Irbesartan,Hypertension (High Blood Pressure),Diabetic Nephropathy,"Dizziness, headache, fatigue. Serious: Angioedema, hyperkalemia, renal impairment.",Angiotensin II Receptor Blocker (ARB),₹150 - ₹400 per 10 tabs (75mg/150mg/300mg),150 mg once daily (max 300 mg daily).,"Losartan, Valsartan, Candesartan.",Global Tablet
Irinotecan hydrochloride,Metastatic Colorectal Cancer,Small Cell Lung Cancer (off-label),"Severe diarrhea (early and delayed), myelosuppression (neutropenia), nausea, vomiting, alopecia.",Topoisomerase I Inhibitor (Chemotherapy),Very High Cost; Oncology IV use only,"IV infusion (Dosing complex, based on $\text{m}^2$ and protocol).",Topotecan.,Global Injection
Iron dextran 5% solution,Treatment of severe Iron Deficiency Anemia (where oral iron is inappropriate),-,"Allergic reactions (including anaphylaxis), hypotension, headache, fever, arthralgia.",Intravenous Iron Preparation,High Cost; Hospital/IV use only,IV infusion (Test dose usually required; total dose calculated based on body weight/hemoglobin).,"Iron Sucrose, Ferric Carboxymaltose.",Global Injection
Iron isomaltoside 1000,Treatment of Iron Deficiency Anemia (when oral iron is ineffective/intolerated),-,"Nausea, vomiting, headache, dizziness, injection site reactions. Serious: Hypersensitivity reactions (anaphylaxis).",Intravenous Iron Preparation,Very High Cost; Hospital/IV use only,"IV infusion (Total calculated iron dose, often 1000 mg in one infusion, repeated if needed).","Iron Sucrose, Ferric Carboxymaltose.",Global Injection
Iron sucrose,Treatment of Iron Deficiency Anemia (especially in Chronic Kidney Disease patients),-,"Transient taste disturbance (metallic taste), hypotension (if infused too fast), injection site reactions. Serious: Hypersensitivity reactions (anaphylaxis).",Intravenous Iron Preparation,High Cost; Hospital/IV use only,"IV infusion (Dosing complex, often 100 mg to 300 mg per dose, repeated several times).","Iron Isomaltoside 1000, Ferric Carboxymaltose.",Global Injection
Isavuconazole,Treatment of invasive Aspergillosis,Treatment of invasive Mucormycosis (Zygomycosis),"Nausea, vomiting, diarrhea, headache, hypokalemia. Serious: Hepatotoxicity, infusion-related reactions.",Azole Antifungal Agent,Extremely High Cost; Specialty IV/Oral,Loading dose: 200 mg every 8 hours for 6 doses. Maintenance: 200 mg once daily.,"Voriconazole, Posaconazole.",Global Capsule/Injection
Isoniazid,Treatment and prevention of Tuberculosis (TB) (always used in combination for active TB),-,"Peripheral neuropathy (preventable with Pyridoxine), hepatotoxicity, rash, fever.",Antitubercular Agent (Mycolic Acid Inhibitor),₹30 - ₹100 per 10 tabs (100mg/300mg),Active TB: 5 $\text{mg}/\text{kg}$ to 10 $\text{mg}/\text{kg}$ daily. Prophylaxis: 300 mg daily for 6-9 months.,"Rifampicin, Pyrazinamide, Ethambutol.",Global Tablet/Injection
Isosorbide dinitrate,Acute and chronic prophylaxis of Angina Pectoris,Congestive Heart Failure,"Headache (severe, common), flushing, dizziness, hypotension.",Organic Nitrate (Vasodilator),₹50 - ₹150 per 10 tabs (5mg/10mg),5 mg to 40 mg two to three times daily. Sublingual for acute angina.,"Isosorbide Mononitrate, Glyceryl Trinitrate.",Global Tablet/Sublingual
Isosorbide mononitrate,Prophylaxis against chronic stable Angina Pectoris,-,"Headache (dose-related), flushing, dizziness, hypotension. Must have a daily nitrate-free interval to prevent tolerance.",Organic Nitrate (Vasodilator),₹80 - ₹250 per 10 tabs (10mg/20mg/60mg MR),"20 mg twice daily, or 60 mg MR once daily (with a break period).","Isosorbide Dinitrate, Glyceryl Trinitrate.",Global Tablet
Isotretinoin,Severe refractory Nodular Acne,-,"Dry skin/lips/eyes, nosebleeds, joint pain. Serious: Teratogenic (causes severe birth defects - mandatory pregnancy prevention programs), depression, elevated triglycerides/liver enzymes.",Retinoid (Vitamin A derivative),₹200 - ₹800 per 10 caps (10mg/20mg),0.5 $\text{mg}/\text{kg}/\text{day}$ to 1 $\text{mg}/\text{kg}/\text{day}$ in two divided doses for 15-20 weeks.,Tretinoin (Topical Retinoid).,Global Capsule
Ispaghula husk,Treatment of Constipation,"Irritable Bowel Syndrome (IBS), maintenance of soft stools (e.g., hemorrhoids)","Bloating, flatulence, abdominal discomfort. Requires adequate fluid intake to prevent obstruction.",Bulk-Forming Laxative,₹50 - ₹150 per Sachet/Bottle,"1-2 teaspoons (or one sachet) in a full glass of water, 1-3 times daily.","Methylcellulose, Psyllium.",Global Powder/Sachet
Isradipine,Treatment of Hypertension (High Blood Pressure),-,"Headache, flushing, dizziness, peripheral edema.",Dihydropyridine Calcium Channel Blocker,₹100 - ₹300 per 10 caps (2.5mg/5mg),2.5 mg twice daily (Max 10 mg daily).,"Amlodipine, Felodipine.",Global Capsule
Itraconazole,"Treatment of systemic Fungal Infections (Histoplasmosis, Blastomycosis)","Onychomycosis (nail fungus), Oropharyngeal Candidiasis","Nausea, diarrhea, abdominal pain, headache. Serious: Dose-related negative inotropy (heart failure risk), hepatotoxicity.",Triazole Antifungal Agent,₹300 - ₹800 per 10 caps (100mg),"100 mg to 400 mg daily in divided doses, or pulse dosing for onychomycosis.","Fluconazole, Voriconazole.",Global Capsule/Oral Solution
Ivabradine hydrochloride,Treatment of chronic stable Angina (in patients with normal sinus rhythm),"Chronic Heart Failure (NYHA Class II-IV, in sinus rhythm)","Luminous phenomena (phosphenes/visual disturbance), bradycardia (slow heart rate), atrial fibrillation.",$\text{I}_f$ Channel Inhibitor (Heart Rate Reducing Agent),₹400 - ₹800 per 10 tabs (5mg/7.5mg),5 mg twice daily (Max 7.5 mg twice daily).,"Beta-blockers (e.g., Metoprolol).",Global Tablet
Ixazomib citrate,Treatment of Multiple Myeloma (in combination with other agents),-,"Diarrhea, constipation, peripheral neuropathy, nausea, vomiting, thrombocytopenia.",Proteasome Inhibitor (Targeted Oncology),Extremely High Cost; Specialty drug,"4 mg once weekly (Days 1, 8, and 15) for 3 weeks of a 28-day cycle.","Bortezomib, Carfilzomib.",Global Capsule
Ketamine,Induction and maintenance of Anesthesia,"Sedation/Analgesia (Procedural Sedation), Severe Treatment-Resistant Depression (low dose)","Vivid dreams, emergence reactions (delirium, hallucinations), hypertension, tachycardia, increased intracranial pressure.",NMDA Receptor Antagonist (Dissociative Anesthetic),High Cost; Controlled substance/IV/IM,Anesthesia: 1-4 $\text{mg}/\text{kg}$ IV or 6.5-13 $\text{mg}/\text{kg}$ IM. Analgesia/Depression: Sub-anesthetic doses.,Propofol (other IV anesthetic).,Global Injection/Nasal Spray (for depression)
Ketoconazole,Treatment of systemic Fungal Infections (now rarely used orally),Cushing's Syndrome (inhibits steroid synthesis),"Nausea, vomiting, abdominal pain, pruritus. Serious: Severe Hepatotoxicity (Black Box Warning), QT prolongation, adrenal insufficiency.",Azole Antifungal Agent,₹150 - ₹400 per 10 tabs (200mg)/Cream,Oral: 200 mg once daily. Topical: Apply to affected area 1-2 times daily.,"Fluconazole, Itraconazole (for systemic use).",Global Tablet/Topical Cream/Shampoo
Ketoprofen,Treatment of Rheumatoid Arthritis and Osteoarthritis,"Mild to moderate pain, Dysmenorrhea (menstrual cramps)","Dyspepsia, nausea, abdominal pain, headache. Serious: GI bleeding, renal toxicity, increased cardiovascular risk.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹80 - ₹200 per 10 caps (50mg/100mg),50 mg to 100 mg two to three times daily.,"Ibuprofen, Naproxen, Diclofenac.",Global Capsule/Injection/Topical Gel
Ketorolac trometamol,"Short-term management of acute, moderate to severe Pain",Post-operative pain management,"Drowsiness, dizziness, nausea, headache. Serious: High risk of GI bleeding/ulceration (short-term use only), renal failure.",NSAID (Non-Steroidal Anti-inflammatory Drug),₹150 - ₹400 per 10 tabs (10mg),"Oral: 10 mg every 4-6 hours (Max 40 mg/day, total duration $\le$ 5 days). IV: 15-30 mg every 6 hours.","Morphine, Oxycodone (opioids for severe pain).",Global Tablet/Injection/Eye Drops
Ketotifen,Prophylaxis of Asthma (now rarely used),Treatment of allergic conjunctivitis (eye drops),"Drowsiness, dry mouth, dizziness, weight gain.",Non-Bronchodilator Antihistamine/Mast Cell Stabilizer,₹50 - ₹150 per 10 tabs (1mg)/Eye drops,Oral: 1 mg twice daily. Eye drops: 1 drop twice daily.,"Cromolyn, Loratadine.",Global Tablet/Eye Drops
Klean-prep,Bowel cleansing before Colonoscopy or surgery,Treatment of severe Chronic Constipation/Fecal Impaction,"Nausea, vomiting, abdominal fullness, bloating, electrolyte disturbance.",Osmotic Laxative (Polyethylene Glycol + Electrolytes),High Cost; Single-use prep kit,Entire volume (4 liters) consumed over a few hours prior to procedure.,"Moviprep, Golytely.",Global Powder for Oral Solution
Labetalol hydrochloride,Management of Hypertension (Chronic and Hypertensive Emergencies),Angina Pectoris (rarely),"Postural hypotension, dizziness, fatigue, scalp tingling. Serious: Bradycardia, heart failure, bronchospasm.",Alpha-$\text{ and Beta-Adrenergic Receptor Blocker**,₹150 - ₹400 per 10 tabs (100mg/200mg),Oral: 100 mg to 400 mg twice daily. IV infusion for emergency.,"Carvedilol, Propranolol.",Global Tablet/Injection
Lacidipine,Treatment of Hypertension (High Blood Pressure),-,"Headache, flushing, dizziness, peripheral edema, palpitations.",Dihydropyridine Calcium Channel Blocker,₹150 - ₹450 per 10 tabs (2mg/4mg),4 mg once daily (Max 6 mg daily).,"Amlodipine, Felodipine.",Global Tablet
Lacosamide,Treatment of Partial-Onset Seizures (Epilepsy),-,"Dizziness, headache, nausea, diplopia (double vision), blurred vision, ataxia. Serious: PR interval prolongation (ECG change), risk of syncope.",Functionalized Amino Acid (Anticonvulsant),Very High Cost; Specialty drug,Initial: 50 mg twice daily. Maintenance: 100 mg to 200 mg twice daily.,"Levetiracetam, Carbamazepine.",Global Tablet/Oral Solution/Injection
